STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
17,031,060900,6867,+41.949074,-087.645666
17,031,061000,1647,+41.949469,-087.652158
17,031,061100,1379,+41.949518,-087.656966
17,031,061200,1889,+41.949129,-087.661489
17,031,061500,1707,+41.945462,-087.661520
17,031,061800,1112,+41.946435,-087.646811
17,031,061901,3433,+41.942988,-087.643348
17,031,061902,4240,+41.942590,-087.641151
17,031,062000,2569,+41.942830,-087.647034
17,031,062100,3436,+41.942945,-087.651583
17,031,062200,2870,+41.942525,-087.656674
17,031,062300,1513,+41.941775,-087.661507
17,031,062400,1421,+41.941689,-087.666099
17,031,062500,1497,+41.941474,-087.671148
17,031,062600,2226,+41.936396,-087.671285
17,031,062700,2724,+41.936255,-087.666101
17,031,062800,3506,+41.936186,-087.661266
17,031,062900,3976,+41.936443,-087.656363
17,031,063000,2973,+41.935940,-087.651536
17,031,063100,2173,+41.938443,-087.646710
17,031,063200,6345,+41.938308,-087.640784
17,031,063301,2641,+41.934278,-087.643009
17,031,063302,3996,+41.934842,-087.639752
17,031,063303,1201,+41.934533,-087.637296
17,031,063400,2180,+41.934914,-087.646807
17,031,070101,3796,+41.929595,-087.640200
17,031,070102,2413,+41.930823,-087.642253
17,031,070103,1709,+41.926835,-087.642700
17,031,070200,3900,+41.929115,-087.646075
17,031,070300,3367,+41.929142,-087.651219
17,031,070400,2984,+41.929172,-087.656129
17,031,070500,2928,+41.928737,-087.661064
17,031,070600,2981,+41.928890,-087.665446
17,031,070700,3481,+41.929622,-087.672226
17,031,071000,4442,+41.922300,-087.655942
17,031,071100,2944,+41.921585,-087.651250
17,031,071200,1906,+41.922090,-087.646059
17,031,071300,3513,+41.922083,-087.641373
17,031,071400,4570,+41.922222,-087.637808
17,031,071500,5768,+41.914506,-087.635710
17,031,071600,1783,+41.916540,-087.641200
17,031,071700,1652,+41.912741,-087.641199
17,031,071800,2646,+41.914335,-087.645775
17,031,080100,6013,+41.907195,-087.626977
17,031,080201,3287,+41.909463,-087.631264
17,031,080202,3498,+41.905870,-087.630710
17,031,080300,4315,+41.907365,-087.635499
17,031,080400,4317,+41.907944,-087.640216
17,031,081000,7546,+41.900720,-087.632180
17,031,081100,3640,+41.900566,-087.629064
17,031,081201,4059,+41.899304,-087.626453
17,031,081202,2995,+41.902345,-087.625511
17,031,081300,4884,+41.898683,-087.620691
17,031,081401,2279,+41.894715,-087.618755
17,031,081402,4243,+41.892166,-087.615525
17,031,081403,6229,+41.891604,-087.619690
17,031,081500,4379,+41.893162,-087.626628
17,031,081600,3545,+41.892126,-087.628935
17,031,081700,3102,+41.893082,-087.631788
17,031,081800,6866,+41.893404,-087.638912
17,031,081900,1053,+41.897442,-087.641783
17,031,090100,3405,+42.015353,-087.813235
17,031,090200,6564,+42.004955,-087.813236
17,031,090300,1372,+41.999187,-087.817613
17,031,100100,5313,+41.989742,-087.783046
17,031,100200,6749,+41.995265,-087.795556
17,031,100300,6177,+41.989371,-087.805882
17,031,100400,3066,+41.989133,-087.818731
17,031,100500,5779,+41.978016,-087.819575
17,031,100600,4832,+41.978687,-087.797095
17,031,100700,4826,+41.972118,-087.797750
17,031,110100,5254,+41.986246,-087.771625
17,031,110200,2828,+41.980573,-087.772862
17,031,110300,5161,+41.974463,-087.783104
17,031,110400,4352,+41.972227,-087.773055
17,031,110501,4639,+41.976771,-087.762018
17,031,110502,3214,+41.970388,-087.760542
17,031,120100,4198,+42.006449,-087.776499
17,031,120200,4430,+41.997795,-087.758793
17,031,120300,6365,+41.991193,-087.739610
17,031,120400,3515,+41.974637,-087.750980
17,031,130100,5133,+41.992089,-087.721403
17,031,130200,1412,+41.981274,-087.733137
17,031,130300,5064,+41.985668,-087.713601
17,031,140100,3729,+41.971016,-087.706226
17,031,140200,5965,+41.970836,-087.712968
17,031,140301,2891,+41.969223,-087.723222
17,031,140302,4345,+41.972213,-087.723861
17,031,140400,6805,+41.971049,-087.737314
17,031,140500,3679,+41.965302,-087.731903
17,031,140601,2786,+41.964865,-087.725752
17,031,140602,5397,+41.965075,-087.720547
17,031,140701,2933,+41.966884,-087.713290
17,031,140702,6187,+41.963460,-087.713741
17,031,140800,6825,+41.964868,-087.704107
17,031,150200,7540,+41.959515,-087.752746
17,031,150300,7198,+41.961057,-087.761878
17,031,150401,4793,+41.964541,-087.772237
17,031,150402,3886,+41.956830,-087.772714
17,031,150501,3648,+41.964337,-087.781504
17,031,150502,4205,+41.956816,-087.781394
17,031,150600,4163,+41.949426,-087.771821
17,031,150700,4608,+41.949622,-087.761954
17,031,150800,5280,+41.949524,-087.752291
17,031,151001,2819,+41.942692,-087.754550
17,031,151002,4567,+41.942525,-087.748107
17,031,151100,5458,+41.942423,-087.761324
17,031,151200,3884,+41.942420,-087.771491
17,031,160100,2485,+41.965286,-087.741825
17,031,160200,3443,+41.959136,-087.737337
17,031,160300,3785,+41.957492,-087.730366
17,031,160400,4768,+41.957590,-087.722411
17,031,160501,4188,+41.959142,-087.713218
17,031,160502,3550,+41.955659,-087.713483
17,031,160601,3490,+41.959448,-087.703684
17,031,160602,3589,+41.955853,-087.702959
17,031,160700,5893,+41.950233,-087.703086
17,031,160800,5148,+41.950424,-087.712603
17,031,160900,2405,+41.950360,-087.722196
17,031,161000,1707,+41.949770,-087.730755
17,031,161100,1861,+41.950847,-087.738038
17,031,161200,2930,+41.942209,-087.738098
17,031,161300,4117,+41.942388,-087.730974
17,031,170100,1752,+41.955931,-087.791495
17,031,170200,3892,+41.949213,-087.781462
17,031,170300,5129,+41.949336,-087.800089
17,031,170400,3870,+41.948719,-087.812537
17,031,170500,4980,+41.948984,-087.829602
17,031,170600,2498,+41.941026,-087.830930
17,031,170700,2980,+41.941255,-087.821930
17,031,170800,3721,+41.941499,-087.812383
17,031,170900,1713,+41.936300,-087.811831
17,031,171000,7287,+41.941744,-087.795343
17,031,171100,4110,+41.942048,-087.781618
17,031,180100,6156,+41.934228,-087.798907
17,031,190100,2488,+41.935803,-087.744811
17,031,190200,5853,+41.935073,-087.751714
17,031,190300,5794,+41.935046,-087.761148
