GEOID,POPULATION
17031805501,3400
17031805502,3888
17031805600,4511
17031805701,5074
17031805702,2015
17031805801,2400
17031805802,4926
17031805901,3834
17031805902,6449
17031806001,5812
17031806002,7550
17031806003,8109
17031806004,7604
17031806102,3973
17031806103,5238
17031806104,4206
17031806201,4196
17031806202,4550
17031806300,4960
17031806400,2494
17031806501,2773
17031806502,4205
17031806600,3490
17031806700,4409
17031806801,4225
17031806802,3300
17031806900,4713
17031807000,5736
17031807100,3817
17031807200,5912
17031807300,7191
17031807400,6518
17031807500,3189
17031807600,6540
17031807700,5933
17031807800,2624
17031807900,4074
17031808001,3646
17031808002,4870
17031808100,3931
17031808200,5196
17031808301,5625
17031808302,3934
17031808400,4411
17031808500,4073
17031808600,2015
17031808702,5504
17031808800,3955
17031808900,4101
17031809000,3976
17031809100,3387
17031809200,4611
17031809300,4816
17031809400,5804
17031809500,3670
17031809600,3301
17031809700,3649
17031809800,2717
17031809900,2855
17031810000,4896
17031810100,4253
17031810200,5739
17031810301,4002
17031810302,3250
17031810400,5350
17031810501,5049
17031810502,5164
17031810600,4717
17031810701,4916
17031810702,3918
17031810800,5324
17031810900,6429
17031811000,4296
17031811100,6520
17031811200,5270
17031811301,4845
17031811302,3778
17031811401,4842
17031811402,4433
17031811500,5895
17031811600,6213
17031811701,3858
17031811702,5124
17031811800,5399
17031811900,5738
17031812000,5434
17031812100,4560
17031812200,3942
17031812301,3972
17031812302,2818
17031812400,3491
17031812500,3375
17031812600,3706
17031812700,3216
17031812801,2943
17031812802,2444
17031812900,4749
17031813000,3873
17031813100,4538
17031813200,4251
17031813301,3502
17031813302,3934
17031813400,7551
17031813500,6994
17031813600,5334
17031813701,3780
17031813702,4263
17031813801,2893
17031813802,5130
17031813900,6329
17031814000,4746
17031814100,4544
17031814200,7375
17031814300,4884
17031814400,7654
17031814500,4978
17031814600,5723
17031814700,5646
17031814800,6466
17031814900,6181
17031815000,4131
17031815100,4435
17031815200,6967
17031815300,3617
17031815400,5502
17031815500,7989
17031815600,4973
17031815701,3927
17031815702,5128
17031815800,1566
17031815900,4392
17031816000,3330
17031816100,6445
17031816200,4192
17031816300,4800
17031816401,5142
17031816402,4404
17031816500,4438
17031816600,4828
17031816700,2809
17031816800,5368
17031816900,5885
17031817000,5459
17031817101,4542
17031817102,3189
17031817200,4684
17031817300,2653
17031817400,4204
17031817500,3623
17031817600,3997
17031817700,4929
17031817900,5632
17031818000,4234
17031818100,2318
17031818200,4702
17031818300,5826
17031818401,3634
17031818402,3051
17031818500,5682
17031818600,4715
17031818700,3625
17031818800,5556
17031818900,4299
17031819000,5117
17031819100,4552
17031819200,6107
17031819300,2693
17031819400,5538
17031819500,3212
17031819600,4010
17031819700,5917
17031819801,5278
17031819802,2678
17031819900,3398
17031820000,2158
17031820101,6937
17031820103,4016
17031820104,4165
17031820201,7827
17031820202,3536
17031820300,5353
17031820400,5701
17031820501,6115
17031820502,5150
17031820603,5254
17031820604,3839
17031820605,4604
17031820606,3650
17031820700,6786
17031820800,3626
17031820901,5686
17031820902,5017
17031821001,5233
17031821002,5593
17031821101,4784
17031821102,4047
17031821200,6003
17031821300,5519
17031821401,3338
17031821402,3587
17031821500,2341
17031821600,4393
17031821700,4889
17031821800,5337
17031821900,5233
17031822000,4349
17031822101,4480
17031822102,4414
17031822200,3703
17031822301,3836
17031822302,4484
17031822400,6226
17031822500,4455
17031822601,4470
17031822602,7061
17031822701,4181
17031822702,3745
17031822801,3345
17031822802,3616
17031822900,2042
17031823001,6450
17031823002,6077
17031823101,4412
17031823102,3641
17031823200,4877
17031823302,5794
17031823303,4519
17031823304,5927
17031823400,5052
17031823500,4545
17031823602,6267
17031823603,2702
17031823604,3578
17031823605,4547
17031823702,6650
17031823703,7940
17031823704,4020
17031823705,4618
17031823801,5716
17031823803,6760
17031823805,2953
17031823806,3716
17031823901,3519
17031823903,4707
17031823904,4016
17031824003,6336
17031824004,5371
17031824005,5539
17031824006,3867
17031824105,6845
17031824106,7063
17031824107,6493
17031824108,8063
17031824113,6562
17031824114,4709
17031824115,3920
17031824116,4718
17031824117,9868
17031824119,5675
17031824120,8680
17031824121,3174
17031824122,6423
17031824123,7756
17031824300,4814
17031824400,2317
17031824503,6740
17031824505,6869
17031824506,7617
17031824507,4214
17031824601,4394
17031824602,6545
17031824701,3962
17031824702,5607
17031824800,7756
17031824900,3079
17031825000,5103
17031825200,2009
17031825302,6277
17031825303,3872
17031825304,4056
17031825400,5419
17031825501,5583
17031825503,6608
17031825504,3734
17031825505,5525
17031825600,5627
17031825700,4206
17031825801,3550
17031825802,5850
17031825803,5811
17031825900,3374
17031826000,3334
17031826100,6414
17031826201,3596
17031826202,5873
17031826301,3956
17031826303,4162
17031826304,3203
17031826401,4072
17031826402,5132
17031826500,5936
17031826600,5540
17031826700,5569
17031826800,5436
17031826901,1894
17031826902,1643
17031827000,3624
17031827100,2716
17031827200,4140
17031827300,2947
17031827400,4298
17031827500,5382
17031827600,3463
17031827700,2902
17031827801,4998
17031827802,3385
17031827804,3308
17031827805,2866
17031827901,2605
17031827902,4524
17031828000,5147
17031828100,4844
17031828201,4290
17031828202,4585
17031828300,3264
17031828401,3644
17031828402,3843
17031828503,4627
17031828504,5977
17031828505,6428
17031828506,8544
17031828601,4187
17031828602,4562
17031828701,4071
17031828702,4916
17031828801,4969
17031828802,3038
17031828900,3920
17031829000,1327
17031829100,4144
17031829200,5951
17031829301,3982
17031829302,3982
17031829401,1394
17031829402,3346
17031829500,4146
17031829600,3062
17031829700,4349
17031829800,6820
17031829901,8744
17031829902,6343
17031830001,2105
17031830003,7985
17031830004,7233
17031830005,3957
17031830006,2487
17031830007,5039
17031830008,4537
17031830100,3356
17031830201,5351
17031830202,3569
17031830300,4748
17031830400,4453
17031830500,4660
17031830600,5005
17031830700,4247
17031830800,2391
17031830900,2877
17031831000,2138
17031831100,7453
17031831200,5021
17031831300,1280
17031831400,2964
17031831500,4079
17031831600,7270
17031831700,2075
17031831800,6322
17031831900,2717
17031832000,1798
17031832100,3297
17031832200,2940
17031832300,1870
17031832400,3181
17031832500,3606
17031832600,3727
17031832900,2212
17031833000,2768
17031833100,6895
17031833300,2278
17031833900,2714
17031834000,3632
17031834200,4944
17031834300,6570
17031834400,3772
17031834500,1475
17031834600,3778
17031834700,2078
17031834800,1953
17031834900,2272
17031835000,5778
17031835100,5369
17031835200,2060
17031835500,1677
17031835600,1199
17031835700,0
17031835800,1576
17031835900,3271
17031836000,2177
17031836100,1761
17031836200,1529
17031836300,1288
17031836400,2979
17031836500,1496
17031836600,2997
17031836700,2397
17031836800,2661
17031836900,1442
17031837000,2085
17031837100,1819
17031837300,2483
17031837400,2279
17031837800,2796
17031838000,2561
17031838100,1713
17031838200,1578
17031838300,1631
17031838600,1598
17031838700,4484
17031838800,3233
17031839000,7311
17031839100,4350
17031839200,2545
17031839500,1545
17031839600,1952
17031839700,4326
17031839800,2730
17031839900,4080
17031840000,2695
17031840100,2935
17031840200,2338
17031840300,3950
17031840400,3326
17031840700,4249
17031840800,3716
17031841000,849
17031841100,7254
17031841200,5262
17031841300,4463
17031841400,1559
17031841500,2962
17031841600,1166
17031841700,1442
17031841800,2505
17031841900,4865
17031842000,2744
17031842100,6731
17031842200,2603
17031842300,3244
17031842400,3304
17031842500,2451
17031842600,4133
17031842800,7498
17031842900,2341
17031843000,2378
17031843100,1892
17031843200,2780
17031843300,1228
17031843400,1451
17031843500,11309
17031843600,2807
17031843700,2117
17031843800,2110
17031843900,3533
17031980000,0
17031980100,0
17031990000,0
17033880100,2871
17033880200,3568
17033880300,3453
17033880400,3161
17033880500,3728
17033880600,3036
17035972400,3190
17035972500,3340
17035972600,4518
17037000100,6712
17037000200,5013
17037000300,2680
17037000400,8622
17037000500,4043
17037000600,6030
17037000700,3833
17037000800,6836
17037000900,5113
17037001001,7025
17037001002,5782
17037001300,5517
17037001400,6451
17037001500,3807
17037001600,4409
17037001700,3454
17037001800,4002
17037001900,2431
17037002000,4956
17037002100,2428
17037002200,6016
17039971400,2731
17039971500,2853
17039971600,3753
17039971700,3511
17039971800,3713
17041952000,2345
17041952100,4081
17041952200,4497
17041952300,5559
17041952400,3498
17043840000,2999
17043840101,5870
17043840102,4639
17043840103,6446
17043840104,6327
17043840201,5836
17043840202,5260
17043840303,3719
17043840304,3777
17043840600,4813
17043840703,3898
17043840704,3258
17043840705,3837
17043840706,3307
17043840801,2382
17043840802,5848
17043840901,3532
17043840904,4251
17043840906,2928
17043840907,4835
17043840908,4381
17043840910,5217
17043840911,3115
17043841002,3207
17043841003,3432
17043841004,3355
17043841102,5936
17043841103,3906
17043841104,4469
17043841108,4429
17043841109,3980
17043841110,3517
17043841111,3636
17043841112,3124
17043841113,3760
17043841114,4196
17043841204,6193
17043841205,4776
17043841206,5345
17043841207,3068
17043841208,5234
17043841209,3945
17043841210,4132
17043841307,6172
17043841308,4318
17043841310,3683
17043841312,3931
17043841313,2789
17043841314,6549
17043841315,3405
17043841316,3663
17043841318,2884
17043841320,2704
17043841321,2510
17043841322,4478
17043841323,3032
17043841324,2839
17043841325,5831
17043841326,3351
17043841327,4443
17043841401,6649
17043841403,3943
17043841404,3192
17043841501,6023
17043841503,3923
17043841504,3294
17043841603,4530
17043841604,4055
17043841605,3818
17043841606,2061
17043841607,4751
17043841703,7157
17043841704,4600
17043841705,5540
17043841706,4113
17043841801,5069
17043841802,5078
17043841901,2443
17043841902,4147
17043842000,4311
17043842100,5922
17043842200,4510
17043842300,3487
17043842400,5054
17043842500,3081
17043842601,4152
17043842602,4315
17043842603,4590
17043842604,4255
17043842605,4134
17043842702,4598
17043842703,4055
17043842704,5095
17043842706,4561
17043842708,2566
17043842709,3654
17043842710,3684
17043842711,2890
17043842800,4503
17043842900,5370
17043843000,4168
17043843100,3777
17043843200,5411
17043843301,4049
17043843302,3014
17043843400,3474
17043843500,5370
17043843601,3482
17043843602,3225
17043843700,4410
17043843800,3484
17043843900,4105
17043844001,3602
17043844002,4268
17043844100,3979
17043844201,5838
17043844202,2649
17043844301,6284
17043844304,3812
17043844305,3871
17043844306,5350
17043844307,3386
17043844401,3442
17043844402,4711
17043844501,2999
17043844502,3153
17043844601,3764
17043844602,4499
17043844701,4253
17043844702,5609
17043844801,4203
17043844802,3218
17043844901,3253
17043844902,4133
17043845000,5254
17043845100,6345
17043845200,4854
17043845300,3328
17043845401,3179
17043845402,2960
17043845502,4963
17043845505,4507
17043845506,3854
17043845507,3519
17043845508,3508
17043845509,3452
17043845510,3254
17043845601,4434
17043845602,4734
17043845701,3915
17043845702,4791
17043845703,4772
17043845704,4754
17043845802,3668
17043845803,5427
17043845805,3861
17043845807,6197
17043845808,3873
17043845809,3942
17043845810,4161
17043845811,3838
17043845901,3371
17043845902,3411
17043846002,4074
17043846003,4280
17043846004,3415
17043846102,4397
17043846103,5490
17043846104,4452
17043846105,3351
17043846106,3636
17043846201,5853
17043846202,5985
17043846203,4254
17043846205,3653
17043846206,4189
17043846207,5455
17043846208,3287
17043846209,3689
17043846304,6239
17043846305,5802
17043846307,4785
17043846308,3345
17043846310,4539
17043846311,5368
17043846312,4330
17043846313,4869
17043846314,3216
17043846315,4315
17043846404,5931
17043846405,3716
17043846408,4156
17043846409,4517
17043846410,4886
17043846411,3956
17043846412,4725
17043846413,3660
17043846504,6270
17043846507,2823
17043846509,4343
17043846510,3179
17043846511,6485
17043846513,2843
17043846514,4139
17043846515,5407
17043846517,6065
