RESIDENCE,WORKPLACE,JOBS
17007010602,17201001300,52
17007010602,17201001500,9
17007010602,17201001800,5
17007010602,17201002301,2
17007010602,17201002900,5
17007010602,17201003300,13
17007010602,17201003708,2
17007010602,17201003709,27
17007010602,17201003711,4
17007010602,17201003805,6
17007010602,17201003807,2
17007010602,17201003808,2
17007010602,17201003809,2
17007010602,17201003904,2
17007010602,17201980000,6
17009970400,17001001100,2
17009970400,17009970400,8
17009970400,17009970500,152
17009970400,17017960300,2
17009970400,17137951900,2
17009970400,17171970600,2
17009970500,17001000100,5
17009970500,17001000500,7
17009970500,17001001100,4
17009970500,17009970400,13
17009970500,17009970500,280
17009970500,17017960300,3
17009970500,17017960500,2
17009970500,17031243300,2
17009970500,17057953500,2
17009970500,17061973600,2
17009970500,17095000300,2
17009970500,17113001103,2
17009970500,17115001000,2
17009970500,17137951700,2
17009970500,17137951900,2
17009970500,17167001300,2
17009970500,17167001900,2
17009970500,17167002000,2
17009970500,17167003100,2
17009970500,17169970200,6
17011964700,17011964700,22
17011964700,17011964800,2
17011964700,17011965100,7
17011964700,17011965300,2
17011964700,17011965400,4
17011964700,17099962100,2
17011964700,17099963000,3
17011964700,17161023200,2
17011964700,17187870400,2
17011964800,17011964700,4
17011964800,17011964800,36
17011964800,17011965300,4
17011964800,17011965400,10
17011964800,17011965500,2
17011964800,17011965600,2
17011964800,17161020300,2
17011964800,17187870400,2
17011964800,17195001100,2
17011964800,17195001300,2
17011964900,17011964900,13
17011964900,17011965300,48
17011964900,17011965400,44
17011964900,17155954500,4
17011964900,17187870400,2
17011965000,17011964900,2
17011965000,17011965000,17
17011965000,17011965100,6
17011965000,17011965200,3
17011965000,17011965300,13
17011965000,17011965400,2
17011965000,17099963000,4
17011965000,17099963200,2
17011965000,17099964200,2
17011965000,17155954500,15
17011965000,17155954600,2
17011965000,17187870400,2
17011965100,17011965000,17
17011965100,17011965100,53
17011965100,17011965200,10
17011965100,17011965300,2
17011965100,17011965400,2
17011965100,17095000800,2
17011965100,17099962100,18
17011965100,17099962200,2
17011965100,17099963000,21
17011965100,17099963200,9
17011965100,17099963300,2
17011965100,17099963400,2
17011965100,17099963800,2
17011965100,17105960300,2
17011965100,17123961400,2
17011965100,17143003402,2
17011965100,17155954500,9
17011965200,17011965000,27
17011965200,17011965100,69
17011965200,17011965200,40
17011965200,17011965300,2
17011965200,17095000800,5
17011965200,17097865400,2
17011965200,17099962100,12
17011965200,17099962200,9
17011965200,17099962800,5
17011965200,17099962900,2
17011965200,17099963000,22
17011965200,17099963100,2
17011965200,17099963200,23
17011965200,17109010700,2
17011965200,17155954500,20
17011965200,17155954600,2
17011965200,17179021603,2
17011965200,17187870400,3
17011965300,17011964900,27
17011965300,17011965000,4
17011965300,17011965100,4
17011965300,17011965300,72
17011965300,17011965400,73
17011965300,17073030800,2
17011965300,17095000800,6
17011965300,17099963000,6
17011965300,17103000200,2
17011965300,17111870809,2
17011965300,17155954600,2
17011965400,17011964800,2
17011965400,17011964900,28
17011965400,17011965000,2
17011965400,17011965100,4
17011965400,17011965300,112
17011965400,17011965400,123
17011965400,17095000800,2
17011965400,17113001800,2
17011965400,17123961200,4
17011965400,17143001200,4
17011965400,17143001600,4
17011965400,17155954600,2
17011965400,17161020100,2
17011965400,17161021200,2
17011965400,17187870400,2
17011965500,17011964900,18
17011965500,17011965000,2
17011965500,17011965100,2
17011965500,17011965300,65
17011965500,17011965400,28
17011965500,17011965500,8
17011965500,17043846604,2
17011965500,17095000800,2
17011965500,17099962100,2
17011965500,17099963000,2
17011965500,17187870400,2
17011965600,17011965300,4
17011965600,17011965400,4
17011965600,17011965500,2
17011965600,17011965600,2
17011965600,17187870400,2
17013951200,17013951200,81
17013951200,17013951300,2
17013951200,17083010401,4
17013951200,17083010500,2
17013951200,17119401300,2
17013951300,17013951200,27
17013951300,17013951300,31
17013951300,17119400200,4
17013951300,17119401903,2
17013951300,17197883305,2
17015960100,17015960100,43
17015960100,17015960300,4
17015960100,17015960400,5
17015960100,17141960700,2
17015960100,17161023200,2
17015960100,17177000400,2
17015960100,17177001000,4
17015960100,17177001100,4
17015960200,17015960300,37
17015960200,17015960400,2
17015960200,17015960600,4
17015960200,17177000400,2
17015960200,17195000500,2
17015960300,17015960300,158
17015960300,17015960400,2
17015960300,17015960600,6
17015960300,17085020401,2
17015960300,17085020402,2
17015960300,17195000100,2
17015960400,17015960300,29
17015960400,17015960400,34
17015960400,17015960500,2
17015960400,17177001100,2
17015960400,17195000700,2
17015960500,17015960300,2
17015960500,17015960500,31
17015960500,17103000300,2
17015960500,17103000400,2
17015960500,17141961300,2
17015960500,17141961400,2
17015960500,17177001100,2
17015960500,17195000100,2
17015960500,17195001100,6
17015960600,17015960100,2
17015960600,17015960300,2
17015960600,17015960500,4
17015960600,17015960600,10
17015960600,17195000900,2
17017960100,17017960100,17
17017960100,17129010200,2
17017960100,17167000300,4
17017960100,17167000900,2
17017960100,17167001300,2
17017960100,17167002700,2
